comment,label
Parfumnya sesuai deskripsi dan enak dipakai.,positive
Parfumnya sesuai deskripsi dan enak dipakai. waktu dipakai.,positive
Wangi parfum ini bikin nyaman seharian. menurut saya.,positive
Parfumnya sesuai deskripsi dan enak dipakai. menurut saya.,positive
Wangi parfum ini bikin nyaman seharian.,positive
"Suka banget sama aroma parfumnya, nggak nyengat. waktu dipakai.",positive
Aromanya bikin mood jadi lebih baik. waktu dipakai.,positive
Aromanya bikin mood jadi lebih baik. waktu dipakai.,positive
"Aromanya lembut dan elegan, cocok buat sehari-hari. sejauh ini.",positive
"Suka banget sama aroma parfumnya, nggak nyengat. waktu dipakai.",positive
"Suka banget sama aroma parfumnya, nggak nyengat. waktu dipakai.",positive
Parfum ini kualitasnya bagus dan awet.,positive
"Parfumnya fresh dan calming, rekomendasi banget. menurut saya.",positive
"Suka banget sama aroma parfumnya, nggak nyengat. untuk harga segini.",positive
Aromanya bikin mood jadi lebih baik.,positive
Wangi parfum ini bikin nyaman seharian. waktu dipakai.,positive
Wangi parfum ini bikin nyaman seharian. sejauh ini.,positive
"Wangi parfumnya mewah, bikin percaya diri. untuk harga segini.",positive
"Wanginya manis tapi nggak berlebihan, pas banget. waktu dipakai.",positive
"Parfum ini wanginya enak banget, tahan lama. menurut saya.",positive
Parfum ini kualitasnya bagus dan awet. menurut saya.,positive
"Wangi parfumnya mewah, bikin percaya diri. untuk harga segini.",positive
"Wangi parfumnya mewah, bikin percaya diri. waktu dipakai.",positive
Aromanya bikin mood jadi lebih baik. menurut saya.,positive
"Parfumnya fresh dan calming, rekomendasi banget. sejauh ini.",positive
"Wangi parfumnya mewah, bikin percaya diri. untuk harga segini.",positive
Aromanya bikin mood jadi lebih baik. untuk harga segini.,positive
"Wangi parfumnya mewah, bikin percaya diri. menurut saya.",positive
"Wanginya manis tapi nggak berlebihan, pas banget.",positive
"Suka banget sama aroma parfumnya, nggak nyengat. waktu dipakai.",positive
"Wanginya manis tapi nggak berlebihan, pas banget. sejauh ini.",positive
Aromanya bikin mood jadi lebih baik. sejauh ini.,positive
"Parfum ini wanginya enak banget, tahan lama. sejauh ini.",positive
"Wangi parfumnya mewah, bikin percaya diri. menurut saya.",positive
"Parfum ini wanginya enak banget, tahan lama. sejauh ini.",positive
"Wanginya manis tapi nggak berlebihan, pas banget. waktu dipakai.",positive
"Parfum ini wanginya enak banget, tahan lama. menurut saya.",positive
Parfumnya sesuai deskripsi dan enak dipakai. menurut saya.,positive
Wangi parfum ini bikin nyaman seharian.,positive
"Parfumnya fresh dan calming, rekomendasi banget. untuk harga segini.",positive
Parfum ini kualitasnya bagus dan awet. sejauh ini.,positive
"Parfum ini wanginya enak banget, tahan lama. sejauh ini.",positive
Wangi parfum ini bikin nyaman seharian. untuk harga segini.,positive
"Wangi parfumnya mewah, bikin percaya diri. menurut saya.",positive
"Aromanya lembut dan elegan, cocok buat sehari-hari. sejauh ini.",positive
Wangi parfum ini bikin nyaman seharian. waktu dipakai.,positive
"Parfumnya fresh dan calming, rekomendasi banget. menurut saya.",positive
"Wanginya manis tapi nggak berlebihan, pas banget.",positive
"Parfumnya fresh dan calming, rekomendasi banget. sejauh ini.",positive
"Parfumnya fresh dan calming, rekomendasi banget. menurut saya.",positive
Parfumnya sesuai deskripsi dan enak dipakai. untuk harga segini.,positive
"Wanginya manis tapi nggak berlebihan, pas banget. sejauh ini.",positive
"Parfum ini wanginya enak banget, tahan lama. waktu dipakai.",positive
Parfumnya sesuai deskripsi dan enak dipakai.,positive
Wangi parfum ini bikin nyaman seharian. menurut saya.,positive
Wangi parfum ini bikin nyaman seharian. sejauh ini.,positive
Aromanya bikin mood jadi lebih baik.,positive
"Suka banget sama aroma parfumnya, nggak nyengat. waktu dipakai.",positive
"Suka banget sama aroma parfumnya, nggak nyengat.",positive
"Parfum ini wanginya enak banget, tahan lama. sejauh ini.",positive
"Aromanya lembut dan elegan, cocok buat sehari-hari.",positive
Wangi parfum ini bikin nyaman seharian. untuk harga segini.,positive
"Aromanya lembut dan elegan, cocok buat sehari-hari.",positive
Aromanya bikin mood jadi lebih baik. untuk harga segini.,positive
Parfum ini kualitasnya bagus dan awet. menurut saya.,positive
"Suka banget sama aroma parfumnya, nggak nyengat. untuk harga segini.",positive
Aromanya bikin mood jadi lebih baik. waktu dipakai.,positive
"Wangi parfumnya mewah, bikin percaya diri. sejauh ini.",positive
"Parfum ini wanginya enak banget, tahan lama. waktu dipakai.",positive
"Parfumnya fresh dan calming, rekomendasi banget. menurut saya.",positive
"Parfum ini wanginya enak banget, tahan lama. sejauh ini.",positive
Parfum ini kualitasnya bagus dan awet. untuk harga segini.,positive
Parfum ini kualitasnya bagus dan awet. untuk harga segini.,positive
Parfumnya sesuai deskripsi dan enak dipakai. untuk harga segini.,positive
Parfum ini kualitasnya bagus dan awet. menurut saya.,positive
"Wanginya manis tapi nggak berlebihan, pas banget. waktu dipakai.",positive
Aromanya bikin mood jadi lebih baik.,positive
"Suka banget sama aroma parfumnya, nggak nyengat.",positive
Parfum ini kualitasnya bagus dan awet. waktu dipakai.,positive
Parfum ini kualitasnya bagus dan awet. sejauh ini.,positive
"Wangi parfumnya mewah, bikin percaya diri.",positive
Parfum ini kualitasnya bagus dan awet. waktu dipakai.,positive
Aromanya bikin mood jadi lebih baik. menurut saya.,positive
"Wangi parfumnya mewah, bikin percaya diri. sejauh ini.",positive
"Wangi parfumnya mewah, bikin percaya diri. untuk harga segini.",positive
Wangi parfum ini bikin nyaman seharian. waktu dipakai.,positive
Wangi parfum ini bikin nyaman seharian.,positive
"Wangi parfumnya mewah, bikin percaya diri. sejauh ini.",positive
"Wangi parfumnya mewah, bikin percaya diri. untuk harga segini.",positive
Parfumnya sesuai deskripsi dan enak dipakai. menurut saya.,positive
"Wanginya manis tapi nggak berlebihan, pas banget. sejauh ini.",positive
"Aromanya lembut dan elegan, cocok buat sehari-hari.",positive
"Suka banget sama aroma parfumnya, nggak nyengat. menurut saya.",positive
"Parfum ini wanginya enak banget, tahan lama. menurut saya.",positive
Parfumnya sesuai deskripsi dan enak dipakai. menurut saya.,positive
Parfum ini kualitasnya bagus dan awet.,positive
"Aromanya lembut dan elegan, cocok buat sehari-hari.",positive
"Aromanya lembut dan elegan, cocok buat sehari-hari. waktu dipakai.",positive
"Wanginya manis tapi nggak berlebihan, pas banget. menurut saya.",positive
"Wangi parfumnya mewah, bikin percaya diri.",positive
"Aromanya hambar, hampir tidak tercium. waktu dipakai.",negative
"Aromanya hambar, hampir tidak tercium.",negative
"Parfumnya bikin alergi, nggak cocok. waktu dipakai.",negative
Wanginya tidak awet sama sekali. untuk harga segini.,negative
"Parfumnya terlalu menyengat, bikin pusing. sejauh ini.",negative
"Parfumnya bikin alergi, nggak cocok. untuk harga segini.",negative
Wanginya terlalu kuat dan bikin tidak nyaman. sejauh ini.,negative
"Aromanya hambar, hampir tidak tercium. untuk harga segini.",negative
Wanginya terlalu kuat dan bikin tidak nyaman. sejauh ini.,negative
Wanginya tidak awet sama sekali. menurut saya.,negative
"Parfumnya terlalu menyengat, bikin pusing. sejauh ini.",negative
Wanginya terlalu kuat dan bikin tidak nyaman. waktu dipakai.,negative
"Parfumnya terlalu menyengat, bikin pusing.",negative
Wanginya terlalu kuat dan bikin tidak nyaman. menurut saya.,negative
"Aromanya hambar, hampir tidak tercium. menurut saya.",negative
Parfumnya tidak sesuai deskripsi. waktu dipakai.,negative
"Parfum ini jauh dari ekspektasi, kecewa. sejauh ini.",negative
"Aromanya mirip parfum murah, gak worth it. menurut saya.",negative
"Parfum ini jauh dari ekspektasi, kecewa. sejauh ini.",negative
"Parfumnya terlalu menyengat, bikin pusing. untuk harga segini.",negative
"Parfumnya terlalu menyengat, bikin pusing. untuk harga segini.",negative
Parfumnya tidak sesuai deskripsi. waktu dipakai.,negative
"Aromanya hambar, hampir tidak tercium.",negative
"Parfumnya terlalu menyengat, bikin pusing. menurut saya.",negative
"Aromanya nggak tahan lama, cepat hilang.",negative
Wanginya tidak awet sama sekali.,negative
"Aromanya hambar, hampir tidak tercium.",negative
"Aromanya mirip parfum murah, gak worth it. waktu dipakai.",negative
"Parfumnya terlalu menyengat, bikin pusing.",negative
Wanginya tidak awet sama sekali.,negative
"Parfumnya bikin alergi, nggak cocok. waktu dipakai.",negative
"Aromanya hambar, hampir tidak tercium. waktu dipakai.",negative
Wanginya aneh dan nggak enak dipakai. menurut saya.,negative
Parfumnya tidak sesuai deskripsi.,negative
Parfumnya tidak sesuai deskripsi. untuk harga segini.,negative
Parfumnya tidak sesuai deskripsi.,negative
Wanginya aneh dan nggak enak dipakai.,negative
"Parfumnya bikin alergi, nggak cocok.",negative
Wanginya tidak awet sama sekali. menurut saya.,negative
"Parfumnya bikin alergi, nggak cocok.",negative
"Aromanya mirip parfum murah, gak worth it. untuk harga segini.",negative
"Aromanya mirip parfum murah, gak worth it.",negative
"Parfum ini jauh dari ekspektasi, kecewa. menurut saya.",negative
"Parfumnya bikin alergi, nggak cocok. waktu dipakai.",negative
Parfumnya tidak sesuai deskripsi. menurut saya.,negative
"Aromanya mirip parfum murah, gak worth it. sejauh ini.",negative
Parfumnya tidak sesuai deskripsi. waktu dipakai.,negative
Wanginya tidak awet sama sekali. menurut saya.,negative
Wanginya tidak awet sama sekali. untuk harga segini.,negative
"Aromanya hambar, hampir tidak tercium. menurut saya.",negative
"Parfumnya terlalu menyengat, bikin pusing.",negative
Wanginya tidak awet sama sekali.,negative
Wanginya tidak awet sama sekali. waktu dipakai.,negative
"Parfumnya bikin alergi, nggak cocok. sejauh ini.",negative
"Aromanya nggak tahan lama, cepat hilang.",negative
"Parfumnya terlalu menyengat, bikin pusing.",negative
"Parfumnya bikin alergi, nggak cocok. sejauh ini.",negative
"Parfum ini jauh dari ekspektasi, kecewa. sejauh ini.",negative
Wanginya aneh dan nggak enak dipakai. waktu dipakai.,negative
"Aromanya nggak tahan lama, cepat hilang. untuk harga segini.",negative
"Aromanya mirip parfum murah, gak worth it. waktu dipakai.",negative
Wanginya tidak awet sama sekali. waktu dipakai.,negative
"Parfumnya bikin alergi, nggak cocok. waktu dipakai.",negative
"Aromanya mirip parfum murah, gak worth it. menurut saya.",negative
