comment,label_asli,prediksi_model
parfumnya sesuai deskripsi dan enak dipakai,positive,positive
parfumnya sesuai deskripsi dan enak dipakai waktu dipakai,positive,positive
wangi parfum ini bikin nyaman seharian menurut saya,positive,positive
parfumnya sesuai deskripsi dan enak dipakai menurut saya,positive,positive
wangi parfum ini bikin nyaman seharian,positive,positive
suka banget sama aroma parfumnya nggak nyengat waktu dipakai,positive,positive
aromanya bikin mood jadi lebih baik waktu dipakai,positive,positive
aromanya bikin mood jadi lebih baik waktu dipakai,positive,positive
aromanya lembut dan elegan cocok buat sehari hari sejauh ini,positive,positive
suka banget sama aroma parfumnya nggak nyengat waktu dipakai,positive,positive
suka banget sama aroma parfumnya nggak nyengat waktu dipakai,positive,positive
parfum ini kualitasnya bagus dan awet,positive,positive
parfumnya fresh dan calming rekomendasi banget menurut saya,positive,positive
suka banget sama aroma parfumnya nggak nyengat untuk harga segini,positive,positive
aromanya bikin mood jadi lebih baik,positive,positive
wangi parfum ini bikin nyaman seharian waktu dipakai,positive,positive
wangi parfum ini bikin nyaman seharian sejauh ini,positive,positive
wangi parfumnya mewah bikin percaya diri untuk harga segini,positive,positive
wanginya manis tapi nggak berlebihan pas banget waktu dipakai,positive,positive
parfum ini wanginya enak banget tahan lama menurut saya,positive,positive
parfum ini kualitasnya bagus dan awet menurut saya,positive,positive
wangi parfumnya mewah bikin percaya diri untuk harga segini,positive,positive
wangi parfumnya mewah bikin percaya diri waktu dipakai,positive,positive
aromanya bikin mood jadi lebih baik menurut saya,positive,positive
parfumnya fresh dan calming rekomendasi banget sejauh ini,positive,positive
wangi parfumnya mewah bikin percaya diri untuk harga segini,positive,positive
aromanya bikin mood jadi lebih baik untuk harga segini,positive,positive
wangi parfumnya mewah bikin percaya diri menurut saya,positive,positive
wanginya manis tapi nggak berlebihan pas banget,positive,positive
suka banget sama aroma parfumnya nggak nyengat waktu dipakai,positive,positive
wanginya manis tapi nggak berlebihan pas banget sejauh ini,positive,positive
aromanya bikin mood jadi lebih baik sejauh ini,positive,positive
parfum ini wanginya enak banget tahan lama sejauh ini,positive,positive
wangi parfumnya mewah bikin percaya diri menurut saya,positive,positive
parfum ini wanginya enak banget tahan lama sejauh ini,positive,positive
wanginya manis tapi nggak berlebihan pas banget waktu dipakai,positive,positive
parfum ini wanginya enak banget tahan lama menurut saya,positive,positive
parfumnya sesuai deskripsi dan enak dipakai menurut saya,positive,positive
wangi parfum ini bikin nyaman seharian,positive,positive
parfumnya fresh dan calming rekomendasi banget untuk harga segini,positive,positive
parfum ini kualitasnya bagus dan awet sejauh ini,positive,positive
parfum ini wanginya enak banget tahan lama sejauh ini,positive,positive
wangi parfum ini bikin nyaman seharian untuk harga segini,positive,positive
wangi parfumnya mewah bikin percaya diri menurut saya,positive,positive
aromanya lembut dan elegan cocok buat sehari hari sejauh ini,positive,positive
wangi parfum ini bikin nyaman seharian waktu dipakai,positive,positive
parfumnya fresh dan calming rekomendasi banget menurut saya,positive,positive
wanginya manis tapi nggak berlebihan pas banget,positive,positive
parfumnya fresh dan calming rekomendasi banget sejauh ini,positive,positive
parfumnya fresh dan calming rekomendasi banget menurut saya,positive,positive
parfumnya sesuai deskripsi dan enak dipakai untuk harga segini,positive,positive
wanginya manis tapi nggak berlebihan pas banget sejauh ini,positive,positive
parfum ini wanginya enak banget tahan lama waktu dipakai,positive,positive
parfumnya sesuai deskripsi dan enak dipakai,positive,positive
wangi parfum ini bikin nyaman seharian menurut saya,positive,positive
wangi parfum ini bikin nyaman seharian sejauh ini,positive,positive
aromanya bikin mood jadi lebih baik,positive,positive
suka banget sama aroma parfumnya nggak nyengat waktu dipakai,positive,positive
suka banget sama aroma parfumnya nggak nyengat,positive,positive
parfum ini wanginya enak banget tahan lama sejauh ini,positive,positive
aromanya lembut dan elegan cocok buat sehari hari,positive,positive
wangi parfum ini bikin nyaman seharian untuk harga segini,positive,positive
aromanya lembut dan elegan cocok buat sehari hari,positive,positive
aromanya bikin mood jadi lebih baik untuk harga segini,positive,positive
parfum ini kualitasnya bagus dan awet menurut saya,positive,positive
suka banget sama aroma parfumnya nggak nyengat untuk harga segini,positive,positive
aromanya bikin mood jadi lebih baik waktu dipakai,positive,positive
wangi parfumnya mewah bikin percaya diri sejauh ini,positive,positive
parfum ini wanginya enak banget tahan lama waktu dipakai,positive,positive
parfumnya fresh dan calming rekomendasi banget menurut saya,positive,positive
parfum ini wanginya enak banget tahan lama sejauh ini,positive,positive
parfum ini kualitasnya bagus dan awet untuk harga segini,positive,positive
parfum ini kualitasnya bagus dan awet untuk harga segini,positive,positive
parfumnya sesuai deskripsi dan enak dipakai untuk harga segini,positive,positive
parfum ini kualitasnya bagus dan awet menurut saya,positive,positive
wanginya manis tapi nggak berlebihan pas banget waktu dipakai,positive,positive
aromanya bikin mood jadi lebih baik,positive,positive
suka banget sama aroma parfumnya nggak nyengat,positive,positive
parfum ini kualitasnya bagus dan awet waktu dipakai,positive,positive
parfum ini kualitasnya bagus dan awet sejauh ini,positive,positive
wangi parfumnya mewah bikin percaya diri,positive,positive
parfum ini kualitasnya bagus dan awet waktu dipakai,positive,positive
aromanya bikin mood jadi lebih baik menurut saya,positive,positive
wangi parfumnya mewah bikin percaya diri sejauh ini,positive,positive
wangi parfumnya mewah bikin percaya diri untuk harga segini,positive,positive
wangi parfum ini bikin nyaman seharian waktu dipakai,positive,positive
wangi parfum ini bikin nyaman seharian,positive,positive
wangi parfumnya mewah bikin percaya diri sejauh ini,positive,positive
wangi parfumnya mewah bikin percaya diri untuk harga segini,positive,positive
parfumnya sesuai deskripsi dan enak dipakai menurut saya,positive,positive
wanginya manis tapi nggak berlebihan pas banget sejauh ini,positive,positive
aromanya lembut dan elegan cocok buat sehari hari,positive,positive
suka banget sama aroma parfumnya nggak nyengat menurut saya,positive,positive
parfum ini wanginya enak banget tahan lama menurut saya,positive,positive
parfumnya sesuai deskripsi dan enak dipakai menurut saya,positive,positive
